Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Resource_Type__c,Url__c,Private__c,Description__c,Source__c
a0UB0000003JBpvMAG,005B0000005GeB0IAK,,Flow Demo - Multi-step Import Flow,2020-02-21T00:57:48.000+0000,005B0000005GeB0IAK,2020-02-21T00:57:48.000+0000,005B0000005GeB0IAK,2020-02-21T00:57:48.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,Code,https://org62.lightning.force.com/lightning/r/0D50M00004hkn6aSAA/view,,"Recently I worked on a demo that involved building an Invokable Flow to process a set of data uploaded into a queue table (called Fileback). I doubt this exact use case will match perfectly for what your customers ask for, but if you'd like to see a flow in action that loops through a queue, and validates data against standard objects and updates the queue status accordingly, this may be the flow for you!",Jonathan's Demo he built with Lori
a0UB0000003JBpgMAG,005B0000005GeB0IAK,,Spring '20 Release Notes,2020-02-20T21:08:54.000+0000,005B0000005GeB0IAK,2020-02-20T21:08:54.000+0000,005B0000005GeB0IAK,2020-02-20T21:08:54.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,Documentation,https://releasenotes.docs.salesforce.com/en-us/spring20/release-notes/salesforce_release_notes.htm,,,
a0UB0000003JBpbMAG,005B0000005GeB0IAK,,1-feature platform demos contributors,2020-02-20T21:02:51.000+0000,005B0000005GeB0IAK,2020-02-21T00:33:21.000+0000,005B0000005GeB0IAK,2020-02-21T00:33:21.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,Chatter Group,https://org62.lightning.force.com/lightning/r/CollaborationGroup/0F90M000000brVjSAI/view,,Chatter Group.  You're here because you're the kind of people who might 1) make demos 2) make variants of demos 3 ) make demo videos 4) give feedback on outlines & videos.,Org62
a0UB0000003JBpqMAG,005B0000005GeB0IAK,,Demo Community - 2 Minute Demos,2020-02-21T00:37:49.000+0000,005B0000005GeB0IAK,2020-02-21T00:38:44.000+0000,005B0000005GeB0IAK,2020-02-21T00:38:44.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,Video,https://www.platformdemos.com/s/,,Community site set up to give videos and quick demos.   Documentation and source code is also included.,Shane McLaughlin - 1-feature platform demos contributors
a0UB0000003JBplMAG,005B0000005GeB0IAK,,Salesforce Architect Journey - Trailhead,2020-02-21T00:05:16.000+0000,005B0000005GeB0IAK,2020-02-21T00:05:16.000+0000,005B0000005GeB0IAK,2020-02-21T00:05:16.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,Trail,https://trailhead.salesforce.com/credentials/architectoverview,,,
a0UB0000003JBpWMAW,005B0000005GeB0IAK,,LWC Playground in Quip,2020-02-20T19:51:48.000+0000,005B0000005GeB0IAK,2020-02-20T20:58:38.000+0000,005B0000005GeB0IAK,2020-02-20T20:58:38.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,Demo,https://salesforce.quip.com/MAgnAR2UiZuf,1,This is a really cool feature in quip where you can show off LWC code in a quip document.,Org62
