Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Description__c,Type__c
a0VB0000001Mgd9MAC,005B0000005GeB0IAK,,Flow Builder,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdAMAS,005B0000005GeB0IAK,,Heroku Connect,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdBMAS,005B0000005GeB0IAK,,Heroku Elements,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdCMAS,005B0000005GeB0IAK,,Heroku Kafka,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdDMAS,005B0000005GeB0IAK,,Heroku Pipelines,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdEMAS,005B0000005GeB0IAK,,Heroku Postgres,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdFMAS,005B0000005GeB0IAK,,Heroku Private Spaces/Shield,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdGMAS,005B0000005GeB0IAK,,Identity,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdHMAS,005B0000005GeB0IAK,,LEA-Customers,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdIMAS,005B0000005GeB0IAK,,LEA-Partners,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdJMAS,005B0000005GeB0IAK,,Lightning App Builder,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
a0VB0000001MgdKMAS,005B0000005GeB0IAK,,Lightning Experience,2020-02-20T20:11:06.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,005B0000005GeB0IAK,2020-02-21T00:43:10.000+0000,,2021-03-02T15:55:13.000+0000,2021-03-02T15:55:13.000+0000,,Salesforce Feature
