Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,Skill_Level_Numeric__c
a013F000007SLIMQA4,0053F000008l8McQAI,,1 - I can spell it,2021-03-11T16:04:25.000+0000,0053F000008l8McQAI,2021-03-11T16:04:25.000+0000,0053F000008l8McQAI,2021-03-11T16:04:25.000+0000,2021-03-12T00:58:13.000+0000,2021-03-12T00:58:13.000+0000,1
a013F000007SLIbQAO,0053F000008l8McQAI,,4 - This is my jam,2021-03-11T16:05:57.000+0000,0053F000008l8McQAI,2021-03-11T16:05:57.000+0000,0053F000008l8McQAI,2021-03-11T16:05:57.000+0000,2021-03-11T16:06:00.000+0000,2021-03-11T16:06:00.000+0000,4
a013F000007SLIWQA4,0053F000008l8McQAI,,3 - I can present on it with preparation,2021-03-11T16:05:47.000+0000,0053F000008l8McQAI,2021-03-11T16:05:47.000+0000,0053F000008l8McQAI,2021-03-11T16:05:47.000+0000,2021-03-11T16:05:49.000+0000,2021-03-11T16:05:49.000+0000,3
a013F000007SLIgQAO,0053F000008l8McQAI,,5 - I'm known as an expert amongst my peers,2021-03-11T16:06:17.000+0000,0053F000008l8McQAI,2021-03-11T16:06:17.000+0000,0053F000008l8McQAI,2021-03-11T16:06:17.000+0000,2021-03-11T16:08:26.000+0000,2021-03-11T16:08:26.000+0000,5
a013F000007SLIRQA4,0053F000008l8McQAI,,2 - I've read about it,2021-03-11T16:05:23.000+0000,0053F000008l8McQAI,2021-03-11T16:05:23.000+0000,0053F000008l8McQAI,2021-03-11T16:05:23.000+0000,2021-03-12T00:58:12.000+0000,2021-03-12T00:58:12.000+0000,2
a013F000007SLIHQA4,0053F000008l8McQAI,,0 - Never heard of it,2021-03-11T16:03:41.000+0000,0053F000008l8McQAI,2021-03-11T16:03:41.000+0000,0053F000008l8McQAI,2021-03-11T16:03:41.000+0000,2021-03-11T16:03:41.000+0000,2021-03-11T16:03:41.000+0000,0
